Sura_Number,Verse_Number,Subtitle_Before_Verse,VerseText_Part1,Subtitle_Middle_Of_Verse,VerseText_after_MidSubtitle_if_any,Footnote,
,6,কৃতজ্ঞ হবার গুরুত্ব,"স্মরণ করো যে মুসা তার লোকদের বলেছিল, ""তোমাদের উপর আল্লাহর অনুগ্রহ স্মরণ করো। তিনি তোমাদের রক্ষা করেছিলেন ফেরাউনের লোকদের থেকে যে তোমাদের উপর নির্মম অত্যাচার চালাতো, তোমাদের পুত্রদের হত্যা করতো এবং কন্যাদের ছেড়ে দিতো। সেটা ছিল তোমাদের প্রভুর পক্ষ থেকে এক কঠোর পরীক্ষা।""",,,,
,7,কৃতজ্ঞ বনাম অকৃতজ্ঞ,"তোমাদের প্রভু আদেশ করেছেন, ""যত বেশি তোমরা আমাকে ধন্যবাদ দাও, তত বেশি আমি তোমাদের প্রদান করি।”কিন্তু যদি তোমরা অকৃতজ্ঞ হয়ে পড়ো, তাহলে আমার শাস্তি কঠোর।",,,,
,8,,"মুসা বলল, ""যদি তোমরা অবিশ্বাস করো, পৃথিবীর সকল লোকদের সাথে, আল্লাহর কোনকিছু্র প্রয়োজন নেই, প্রশংসনীয়। """,,,,
,9,অহংকারবশত বিরোধীতা: একটি মানবীয় বৈশিষ্ট্য ,"তোমরা কি তোমাদের পূর্বে তাদের সম্পর্কে শোননি - নুহ, আদ, সামুদের লোক, এবং অন্যরা যারা তাদের পরে এসেছে এবং যাদেরকে শুধু আল্লাহই জানেন? তাদের বার্তাবাহকরা তাদের কাছে সুস্পষ্ট প্রমাণাদি নিয়ে গিয়েছিল, কিন্তু তারা তাদের অবমাননা করেছিল এবং বলেছিল, ""যা দিয়ে তোমাদের পাঠানো হয়েছে আমরা তা অবিশ্বাস করি; আমরা তোমাদের বার্তার বিষয়ে সংশয়বাদী ; সন্দেহে পরিপূর্ণ। """,,,,
,10,আমাদের পিতা-মাতার অন্ধ অনুসরণ: <br> এক মহা মানবীয় বিপর্যয় ,"তাদের বার্তাবাহকরা বলল, “তোমাদের কি আল্লাহর বিষয়ে সন্দেহ আছে; আকাশমন্ডলী ও পৃথিবীর সূচনাকারী?   তিনি তোমাদের আমন্ত্রন করেন শুধু তোমাদের পাপ ক্ষমা করে দিতে, এবং তোমাদের নিজেদের পাপমুক্ত করার জন্য আরেকটি সুযোগ  দিতে।” তারা বলল, “তোমরা আমাদের মত মানুষ ছাড়া আর কিছু নও, যারা আমাদের মাতা-পিতার করে যাওয়া উপাসনার পথ থেকে আমাদের সরিয়ে দিতে চায়। আমাদের কিছু সুস্পষ্ট কর্তৃত্ব দেখাও।’’",,,,
,11,,"তাদের বার্তাবাহকরা তাদের বলেছিল, “আমরা তোমাদের মত মানুষ ছাড়া কিছু নই, কিন্তু আল্লাহ অনুগ্রহ করেন তাঁর বান্দাদের মধ্য থেকে যাকে তিনি পছন্দ করেন। আমরা সম্ভবত তোমাদেরকে কোন ধরণের কর্তৃত্ব দেখাতে পারবো না, আল্লাহর ইচ্ছানুযায়ী ব্যতীত। আল্লাহর প্রতি বিশ্বাসীদের আস্থা রাখা উচিত।",,,,
,12,,"""কেন আমরা আল্লাহর প্রতি আস্থা রাখবো না, যখন তিনি আমাদের পথসমূহে আমাদেরকে পরিচালিত করেছেন? আমরা তোমার নির্যাতনের মুখে দৃড়তার সাথে  অবিচল থাকবো। আল্লাহর প্রতি সকল আস্থাকারীদের আস্থা রাখা উচিত।""",,,,
,13,,"যারা অবিশ্বাস করেছিল তারা তাদের বার্তাবাহকদের বলল, “তোমাদেরকে আমরা আমাদের ভূমি থেকে বের করে দেবো, যদি না তোমরা আমাদের ধর্মে ফিরে আসো।” তাদেরকে তাদের প্রভু অনুপ্রেরণা দিলেন: ""আমরা অবশ্যই সীমালঙ্ঘনকারীদের ধ্বংস করবো।",,,,
,14,,"""এবং আমরা তোমাদেরকে তাদের পর তাদের ভূমিতে বাস করতে দেবো। এটা (পুরষ্কার) তাদের জন্য যারা আমার ঐশরিক ক্ষমতাকে ভক্তি করে, এবং আমার প্রতিশ্রুতিকে ভক্তি করে।""",,,,
,15,," তারা একটি চ্যালেঞ্জ করলো, এবং ফলস্বরুপ, প্রত্যেক একগুঁয়ে অত্যাচারী শাসক অবশেষে ধ্বংস হলো।",,,,
,16,,"তার জন্য অপেক্ষা করছে নরক, যেখানে সে পঁচা পানি পান করবে।",,,,
,17,,"সে তা গিলবে, যদিও তা সে সহ্য করতে পারবে না, যেন মৃত্যু প্রত্যেক দিক থেকে তার কাছে আসবে, কিন্তু সে কখনো মরবে না। তার জন্য অপেক্ষায় আছে এক ভয়ানক শাস্তি।*",,,***,
,18,,"যারা তাদের প্রভুকে অবিশ্বাস করে তাদের উপমা হচ্ছেঃ তাদের কাজগুলো তীব্র বাতাসের মাঝে ছাইয়ের মত, কোন ঝড়ো দিনে। যা কিছু তারা উপার্জন করে তা থেকে তারা কিছুই পায় না; এমনই হচ্ছে দূরতম পথভ্রষ্টতা।",,,,
,19,কেবল সর্বশক্তিমান সত্ত্বার উপাসনা করুন,"তুমি কি অনুধাবন করো না যে আল্লাহ আকাশমন্ডলী ও পৃথিবী একটি নির্দিষ্ট উদ্দেশ্যে সৃষ্টি করেছেন? যদি তিনি ইচ্ছা করেন, তিনি তোমাদের সরিয়ে দিতে পারেন,এবং তোমাদের জায়গায় নতুন সৃষ্টি আনতে পারেন।",,,,
,20,,এটি আল্লাহর জন্য খুব কঠিন নয়।,,,,
,21,পুনরুত্থান দিনে,"যখন তারা সকলে আল্লাহর সামনে দাঁড়াবে*, অনুসারীরা নেতাদের বলবে, ""আমরা তোমাদের অনুসরণ করতাম। তোমরা কি আল্লাহর শাস্তি থেকে আমাদের একটুখানি হলেও মুক্তি দিতে পারো? তারা বলবে, ""যদি আল্লাহ আমাদের পথপ্রদর্শণ করতেন, আমরা তোমাদের পথ দেখাতাম। এখন অনেক দেরি হয়ে গিয়েছে, আমরা শোক করি বা ধৈর্য্যধারণ করি, আমাদের কোন নিস্তার নেই।""",,,***,
,22,শয়তান তার অনুসারীদের পরিত্যাগ করে,"এবং শয়তান বলবে, বিচার কার্যকর হওয়ার পর, ""আল্লাহ তোমাদের প্রতিশ্রুতি দিয়েছিলেন সত্য প্রতিশ্রুতি, এবং আমি তোমাদের প্রতিশ্রুতি দিয়েছিলাম, কিন্তু আমি আমার প্রতিশ্রুতি ভংগ করেছি। তোমাদের উপর আমার কোন ক্ষমতা ছিল না; আমি শুধু তোমাদের আমন্ত্রণ করতাম, এবং তোমরা আমার আমন্ত্রণ গ্রহণ করতে। অতএব, আমাকে দোষ দিও না, এবং শুধু নিজেদের দোষ দাও। আমার অভিযোগ তোমাদের সাহায্য করতে পারবে না, না তোমাদের অভিযোগ আমার কোন সাহায্য করতে পারবে। আমাকে তোমাদের উপাস্য বানানোকে আমি অবিশ্বাস করেছি। সীমালঙ্ঘনকারীরা এক যন্ত্রণাদায়ক শাস্তি টেনে এনেছে।""",,,,
,23,,"আর তাদের জন্য যারা বিশ্বাস করে এবং সৎ জীবন-যাপন করে, তারা প্রবাহিত ঝর্নাসহ বাগানগুলোতে প্রবেশ করবে। তারা সেখানে চিরকাল বসবাস করবে, তাদের প্রভুর ইচ্ছানুসারে। সেখানে তাদের সম্ভাষণ হবে, ""শান্তি""।",,,,
,24,সত্য বনাম মিথ্যা,"তুমি কি দেখো না যে আল্লাহ ভাল কথার উপমা দিয়েছেন একটি ভাল গাছ হিসেবে যার মূল শক্ত করে আটকানো, এবং শাখাগুলো আকাশে বিস্তৃত?",,,,
,25,,"এটি প্রত্যেক ঋতুতে এর শস্য উৎপন্ন করে, যেভাবে এর প্রভু নকশা করেছেন। আল্লাহ এভাবে লোকদের জন্য উপমা বর্ণনা করেণ, যাতে তারা উপদেশ নিতে পারে।",,,,
,26,,এবং মন্দ কথার উপমা হচ্ছে একটি মন্দ গাছ যা মাটির স্তরে কাঁটা হয়েছে; একে দাঁড় করিয়ে রাখার জন্য এর কোন মূল নেই।,,,,
,27,,"যারা বিশ্বাস করে তাদেরকে প্রমাণিত কথা দিয়ে আল্লাহ শক্তিশালী করেন, এই জীবনে এবং পরকালে। এবং আল্লাহ সীমালঙ্ঘনকারীদের পথভ্রষ্ট করেন। সবকিছু আল্লাহর ইচ্ছানুসারে হয়।",,,,
,28,তারা আল্লাহর সুরক্ষা থেকে <br> তাদের পরিবারকে সরিয়ে নেয়,"তুমি কি তাদের লক্ষ্য করেছ যারা অবিশ্বাস দিয়ে আল্লাহর অনুগ্রহের প্রতি সাড়া দিয়েছে, এবং এভাবে তাদের নিজেদের পরিবারের উপর দুর্দশা এনেছে?",,,,
,29,,"নরক হচ্ছে তাদের নিয়তি, যেখানে তারা দগ্ধ হয়; কি এক শোচনীয় পরিসমাপ্তি!",,,,
,30,অংশীদার উপাসনা: সকল মন্দের জনক,"তারা আল্লাহর সমপর্যায়ে স্থান দিতে এবং অন্যদেরকে তাঁর পথ থেকে বিচ্যুত করতে প্রতিদ্বন্দ্বীদের স্থাপন করে। বল, ""ক্ষনিকের জন্য উপভোগ করে নাও; তোমাদের চুড়ান্ত নিয়তি নরক।""",,,,
,31,অত্যন্ত গুরুত্বপূর্ণ প্রত্যাদেশাবলি,"আমার বান্দাদের মধ্যে যারা বিশ্বাস করেছে তাদেরকে উদ্বুদ্ধ করো সংযোগ প্রার্থনা (সালাত) পালন করতে, এবং আমাদের দেয়া জীবিকা থেকে দিতে (দান হিসেবে), গোপনে ও প্রকাশ্যে, সে দিন আসার আগে যখন থাকবে না কোন বাণিজ্য, না কোন সজনপ্রীতি।",,,,
,32,,"আল্লাহই সেই সত্ত্বা যিনি আকাশমন্ডলী ও পৃথিবী সৃষ্টি করেছেন, এবং তোমাদের জীবিকার জন্য সকল প্রকার ফল উৎপন্ন করতে আকাশ থেকে পানি বর্ষণ করেন। তিনি জাহাজগুলোকে সমুদ্রে তোমাদের সেবায় নিয়োজিত করেছেন তাঁর আদেশ অনুসারে। তিনি নদীগুলোকেও একইভাবে তোমাদের সেবায় নিয়োজিত করেছেন।",,,,
,33,,"তিনি সূর্য ও চাঁদকে তোমাদের সেবায় নিয়োজিত করেছেন, অনবরত। তিনি রাত ও দিনকে তোমাদের সেবায় নিয়োজিত করেছেন।",,,,
,34,,"এবং তিনি তোমাদেরকে সব ধরণের জিনিস দেন যা কিছুর জন্য তোমরা তাঁর কাছে মিনতি করো। যদি তোমরা আল্লাহর অনুগ্রহ গননা করো, তোমরা কখনো সেগুলো বেষ্টন করতে পারবে না। প্রকৃতপক্ষে, মানবজাতি সীমালঙ্ঘনে রত, অকৃতজ্ঞ।",,,,
,35,ইব্রাহিম,"স্মরণ করো যে ইব্রাহিম বলেছিল, ""আমার প্রভু, একে এক শান্তিময় ভূমি করুন, এবং আমাকে ও আমার সন্তানদের অংশীদার উপাসনা থেকে রক্ষা করুন।",,,,
,36,,"""আমার প্রভু, তারা অনেক লোককে পথভ্রষ্ট করেছে। আর তাদের জন্য যারা আমাকে অনুসরণ করে, তারা আমার সাথে আছে। আর তাদের ক্ষেত্রে যারা আমাকে অমান্য করে, আপনি ক্ষমাকারী, পরম দয়ালু।",,,,
,37,,"“আমাদের প্রভু, আমি আমার পরিবারের একাংশের জন্য বসতি স্থাপন করলাম এই তরুলতাহীন উপত্যাকায়, তোমার পবিত্র ঘরে। আমাদের প্রভু, তারা যাতে সংযোগ প্রার্থনা (সালাত) পালন করে, তাই জনতাকে তাদের সাথে একত্রিত করুন, এবং তাদের জন্য সকল প্রকার ফল সরবরাহ করুন, যাতে তারা কৃতজ্ঞ হয়।",,,,
,38,,"“আমাদের প্রভু, আপনি জানেন যা কিছু আমরা গোপন করি এবং যা কিছু আমরা প্রকাশ করি- আল্লাহর কাছে কোনকিছু লুকানো নেই পৃথিবীতে, না আছে আকাশমন্ডলীতে।",,,,
,39,,"“প্রশংসা আল্লাহর আমাকে দেয়ার জন্য, আমার বৃদ্ধ বয়স সত্ত্বেও, ইসমাইল ও ইসহাককে। আমার প্রভু প্রার্থনার জবাব দেন।",,,,
,40,সংযোগ প্রার্থনাঃ আল্লাহর পক্ষ থেকে উপহার,"“আমার প্রভু, আমাকে এমন একজন করুন যে নিয়ম-মাফিক সংযোগ প্রার্থনা (সালাত) পালন করে, এবং আমার সন্তানদেরও। আমাদের প্রভু, দয়া করে আমাদের প্রার্থনার জবাব দিন।",,,,
,41,,"“আমার প্রভু, ক্ষমা করুন আমাকে এবং আমার পিতা-মাতাকে, এবং বিশ্বাসীদের, ঐ দিনে যখন হিসাব নেয়া হয়।”",,,,
,42,,কখনো ভেবো না যে সীমালঙনকারীরা যা করছে আল্লাহ সে বিষয়ে অসচেতন। তিনি শুধু তাদের ঐ দিন পর্যন্ত অবকাশ দেন যেদিন চোখগুলো আতঙ্কে বিস্ফোরিত হয়। ,,,,
,43,,"যখন তারা (কবর থেকে) দ্রুত বের হবে,  তাদের মুখগুলো উপরের দিকে তাকানো থাকবে, এমনকি তাদের চোখের পলকও পড়বে না, এবং তাদের হৃদয় আতংকিত হবে।",,,,
,44,আল্লাহ তাঁর আদেশ <br> বার্তাবাহকদের মাধ্যমে পাঠান,"তুমি লোকদের ঐ দিনের বিষয়ে সতর্ক করবে যখন তাদের কাছে শাস্তি আসবে। যারা সীমালংঘন করেছে তারা বলবে, “আমাদের প্রভু, আমাদেরকে আর একবার অবকাশ দিন। তখন আমরা আপনার ডাকে সাঁড়া দিবো এবং বার্তাবাহকদের অনুসরণ করবো।”তোমরা কি অতীতে শপথ করে বলতে না যে তোমরা চিরকাল টিকে থাকবে? ",,,,
,45,,"তোমরা তোমাদের পূর্ববর্তীদের বাড়িতে বাস করতে, যারা তাদের আত্মার ক্ষতি করেছিল, এবং তোমরা স্পষ্টই দেখেছ যা আমরা তাদের সাথে করেছিলাম। আমরা তোমাদের জন্য অনেক উদাহরণ স্থাপন করেছি।",,,,
,46,,"তারা তাদের চক্রান্ত করেছিল, এবং আল্লাহ তাদের চক্রান্ত সম্পর্কে পূর্ণ অবগত। প্রকৃতপক্ষে, তাদের চক্রান্ত পাহাড়গুলো মুছে দিতে যথেষ্ঠ ছিল।",,,,
,47,আল্লাহর বার্তাবাহকদের জন্য নিশ্চিত বিজয়,"মনে করো না যে আল্লাহ কখনো তাঁর বার্তাবাহকদের সাথে করা অঙ্গীকার ভংগ করবেন। আল্লাহ সর্বশক্তিমান, প্রতিশোধ গ্রহনকারী।",,,,
,48,নতুন আকাশমন্ডলী এবং নতুন পৃথিবী*,"ঐ দিন আসবে যখন এই পৃথিবীর জায়গায় এক নতুন পৃথিবী আনা হবে, এবং আকাশমন্ডলীও, এবং সকলকে আল্লাহর সামনে উপস্থিত করা হবে, সেই একক সত্ত্বা, সর্বোচ্চ।",,,***,
,49,,আর সেদিন তুমি অপরাধীদের দেখবে শিকলে বাঁধা।,,,,
,50,,"তাদের জামা আলকাতরায় তৈরী হবে, এবং আগুন তাদের মুখ আচ্ছন্ন করবে।",,,,
,51,,কারণ আল্লাহ প্রত্যেক আত্মাকে শোধ করবেন যা তারা অর্জণ করেছে; আল্লাহ সবচেয়ে দক্ষ হিসাব গ্রহনকারী।,,,,
,52,,"এটি লোকদের জন্য একটি ঘোষনাপত্র, এর দ্বারা সতর্ক করতে, এবং তাদেরকে জানাতে যে তিনিই একমাত্র উপাস্য, এবং যারা বুদ্ধিমত্তার অধিকারী তারা যেন মনোনিবেশ করে।",,,,
,,,,,,,
15,0,,"পরম করুণাময়,পরম দয়ালু আল্লাহর নামে।",,,,
,1,,"অ, ল, র।* এই (অক্ষর গুলো) এই ঐশীগ্রন্থের প্রমান; এক জ্ঞানগর্ভ কোরআন।",,,***,
,2,,"নিশ্চয়, যারা অবিশ্বাস করতো তারা আকাঙ্ক্ষা করবে যে যদি তারা আত্মসমর্পণকারী হতো।",,,,
,3,,"তাদেরকে খেতে, আনন্দ করতে এবং ইচ্ছেমতো চিন্তায় অন্ধ থাকতে দাও; তারা দেখতে পাবে।  ",,,,
,4,,"আমরা কখনও কোন সম্প্রদায়কে ধ্বংস করি না, একটি নির্দিষ্ট, পূর্বনির্ধারিত সময় অনুসারে ছাড়া।   ",,,,
,5,,"কোন সম্প্রদায়ের সমাপ্তি না কখনো এগোতে পারে, না পেছাতে পারে।",,,,
,6,,"তারা বলল, “হে তুমি যে এই সতর্কবানী পেয়েছ, তুমি একটা পাগল”।",,,,
,7,,"“কেন তুমি ফেরেশতাদের নামিয়ে আনো না, যদি তুমি সত্যবাদী হও?”",,,,
,8,,"আমরা সুনির্দিষ্ট কাজ ছাড়া ফেরেশতাদের অবতরণ করাই না। অন্যথায়, কেউই রেহাই পাবে না। ",,,,
,9,আল্লাহর অঙ্গীকারকৃত বার্তাবাহক*,"নিসন্দেহে, আমরা এই সতর্কবাণী প্রকাশ করেছি, এবং, নিসন্দেহে, আমরা একে সংরক্ষন করবো।*",,,***,
,10,,আমরা তোমার আগে অতীতের সম্প্রদায়ের কাছে (বার্তাবাহকদের) পাঠিয়েছি।,,,,
,11,,"প্রতিবার যখন একজন বার্তাবাহক তাদের কাছে গিয়েছিলো, তারা তাকে উপহাস করেছিল। ",,,,
,12,,আমরা এভাবে অপরাধীদের মনকে নিয়ন্ত্রণ করি।,,,,
,13,,"ফলস্বরূপ, তারা তাকে বিশ্বাস করতে পারে না। অতীত প্রজন্মদের থেকে এই রীতিই চলে আসছে। ",,,,
,14,,"এমনকি আমরা যদি তাদের জন্য আকাশে কোন দরজা খুলে দেই, যা দিয়ে তারা আরোহণ করে; ",,,,
,15,,"তারা বলবে, “আমাদের চোখকে ধোঁকা দেয়া হয়েছে। আমরা জাদুগ্রস্থ হয়ে পড়েছি”।",,,,
,16,,"আমরা আকাশে নক্ষত্রপুঞ্জ স্থাপন করেছি, এবং দর্শকদের জন্য একে সুসজ্জিত করেছি।",,,,
,17,,এবং আমরা প্রত্যেক বিতাড়িত শয়তান থেকে একে সুরক্ষিত করেছি। ,,,,
,18,,"যদি তাদের কেউ শোনার জন্য চুপিসারে ঘুরে বেড়ায়, একটি শক্তিশালী ক্ষেপণাস্ত্র তার পিছু ধাওয়া করবে।",,,,
,19,,"পৃথিবীর বিষয়ে, আমরা একে নির্মাণ করেছি, এবং এর উপর ভারসাম্যরক্ষাকারী (পর্বতমালা) রেখেছি এবং আমরা এর উপর দিয়েছি প্রত্যেক জিনিসের এক নিখুঁত ভারসাম্য।",,,,
,20,,"আমরা একে বানিয়েছি বাসযোগ্য তোমাদের জন্য,* এবং জীবদের জন্য তোমরা যাদের জীবিকা দাও না।",,,***,
,21,,সেখানে কোন কিছুই নেই যার সীমাহীন পরিমানের মালিক আমরা মালিক নই। কিন্তু আমরা তা সুনির্দিষ্ট পরিমাণে অবতীর্ণ করি।  ,,,,
,22,,"এবং আমরা বাতাস পাঠাই পরাগায়নকারী হিসেবে, এবং তোমাদের পান করার জন্য আকাশ থেকে পানি বর্ষনের ব্যবস্থা করি। অন্যথায়, তোমরা একে সুস্বাদু রাখতে পারতে না।   ",,,,
,23,,"আমরাই জীবন ও মৃত্যু নিয়ন্ত্রন করি, এবং আমরাই চূড়ান্ত উত্তরাধিকারী। ",,,,
,24,,"এবং আমরা তোমাদের মধ্যে তাদেরকে পূর্ণরূপে জানি যারা অগ্রগামী হয়, এবং আমরা তাদেরকে পূর্ণরূপে জানি যারা পশ্চাৎগামী হয়।",,,,
,25,,"তোমার প্রভু অবশ্যই তাদের ডেকে পাঠাবেন। তিনি পরম প্রজ্ঞাবান, সর্বজ্ঞ।",,,,
,26,,"আমরা মানবজাতিকে সৃষ্টি করেছি পুরনো কাঁদা থেকে, কুমোরের মাটির মতো।",,,,
,27,,"জীনদের ক্ষেত্রে, আমরা তাদের সৃষ্টি করেছি, এর আগে, জলন্ত আগুন থেকে।",,,,
,28,,"তোমার প্রভু ফেরেশতাদের বললেন, “আমি একজন মানুষ সৃষ্টি করছি পুরানো কাঁদা থেকে, কুমোরের মাটির মতো।",,,,
,29,,"“একবার আমি তাকে সম্পূর্ণ করার পর, এবং তার মধ্যে আমার রূহ থেকে ফুঁকে দেবার পর, তোমরা তার সামনে সেজদাবনত হবে”। ",,,,
,30,,"ফেরেশতারা সেজদাবনত হল; তাদের সকলে,",,,,
,31,,ইবলিস (শয়তান) ছাড়া। সে সেজদাকারীদের সাথে থাকতে অস্বীকার করলো।,,,,
,32,,"তিনি বললেন, “হে ইবলিস (শয়তান), তুমি সেজদাকারীদের সাথে নেই কেন?",,,,
,33,,"সে বলল, “আমি কোন মানুষকে সেজদা করবো না, যাকে আপনি সৃষ্টি করেছেন পুরানো কাঁদা থেকে, কুমোরের মাটির মতো।""",,,,
,34,,"তিনি বললেন, “সেজন্য, তুমি অবশ্যই বেরিয়ে যাবে; তুমি নির্বাসিত। ",,,,
,35,,"“তুমি বিচার দিন পর্যন্ত আমার অভিশাপ অর্জন করেছো।""",,,,
,36,,"সে বলল, “আমার প্রভু, তাদের পুনরুত্থানের দিন অবধি আমাকে অবকাশ দিন।""",,,,
,37,,"তিনি বললেন, “তোমাকে অবকাশ দেয়া হল।""",,,,
,38,,"“নির্দিষ্ট দিন এবং সময় পর্যন্ত।""",,,,
,39,,"সে বলল, “আমার প্রভু, যেহেতু আপনি ইচ্ছা করেছেন যে আমি বিপথে যাই, আমি অবশ্যই পৃথিবীতে তাদেরকে প্রলুব্ধ করবো; আমি তাদের সকলকে বিপথে পাঠাবো।",,,,
,40,,"""শুধু আপনার উপাসনাকারীদের মধ্যে তাদের ছাড়া যারা সম্পূর্ণরূপে একমাত্র আপনার প্রতি উৎসর্গকৃত।""",,,,
,41,,"তিনি বললেন, “এটি একটি আইন যা অলঙ্ঘনীয়",,,,
,42,,"""আমার বান্দাদের উপর তোমার কোন ক্ষমতা নেই। তোমার ক্ষমতা আছে শুধু পথভ্রষ্টদের উপর যারা তোমাকে অনুসরণ করে।",,,,
,43,,“এবং নরক তাদের সকলের জন্য অপেক্ষা করছে।,,,,
,44,,"“এর সাতটি দরজা হবে। প্রত্যেক দরজা তাদের একটি নির্দিষ্ট অংশ পাবে।""",,,,
,45,,"সৎকর্মীদের ক্ষেত্রে, তারা বাগান এবং ঝর্না উপভোগ করবে।",,,,
,46,,"তাতে প্রবেশ করো, শান্তিময় এবং নিরাপদ।",,,,
,47,,"আমরা তাদের হৃদয় থেকে সকল হিংসা দূর করবো। তারা পাশাপাশি আসবাবপথ ও সাজসরঞ্জামের মাঝে থাকবে, একটি পরিবারের মতো।",,,,
,48,,সেখানে তারা কখনো ক্লান্তি বোধ করবে না; সেখান থেকে কখনো তারা বিতাড়িত হবে না।,,,,
,49,,"আমার বান্দাদের জানাও যে আমি ক্ষমাকারী, পরম দয়ালু।",,,,
,50,,এবং যে আমার শাস্তি সবথেকে যন্ত্রণাদায়ক শাস্তি।,,,,
,51,ফেরেশতারা ইব্রাহীমের সাথে সাক্ষাৎ করলো  ,তাদেরকে ইব্রাহীমের অতিথিদের বিষয়ে জানাও।,,,,
,52,,"যখন তারা তার বাসায় প্রবেশ করলো, তারা বলল, “শান্তি”। সে বলল, “আমরা তোমাদের ব্যপারে শঙ্কিত।""",,,,
,53,,"তারা বলল, “শঙ্কিত হয়ো না। আমরা তোমার জন্য সুসংবাদ এনেছিঃ এক জ্ঞানদিপ্ত পুত্রের।""",,,,
,54,,"সে বলল, “কিভাবে তোমরা আমাকে এমন সুসংবাদ দিতে পারো, যখন আমি এতো বৃদ্ধ? এরপরও কি তোমরা আমাকে এই সুসংবাদ দাও? ",,,,
,55,,"তারা বলল, “যে সুসংবাদ আমরা তোমাকে দেই তা সত্য; হতাশ হয়ো না।""",,,,
,56,,"সে বলল, “কেউ তার প্রভুর দয়া থেকে হতাশ হয় না, পথভ্রষ্টরা ছাড়া।""",,,,
,57,,"সে বলল, “তোমাদের পাঠানোর উদ্দেশ্য কি, হে বার্তাবাহকগন?”",,,,
,58,,"তারা বলল, “আমাদেরকে পাঠানো হয় অপরাধী লোকদের নিকট।",,,,
,59,,"“লুতের পরিবারের ক্ষেত্রে, আমরা তাদের সকলকে রক্ষা করবো।""",,,,
,60,,"“কিন্তু তার স্ত্রীকে নয়; সে দন্ডপ্রাপ্তদের সাথে থাকার জন্য নিয়তিপ্রাপ্ত।""",,,,
,61,লুত,বার্তাবাহকেরা লুতের শহরে গেল।,,,,
,62,,"সে বলল, “তোমরা অপরিচিত লোক।""",,,,
,63,,"তারা বলল, “আমরা তোমার কাছে এনেছি যাতে তারা সন্ধেহ করছে। ",,,,
,64,,"“আমরা তোমার কাছে সত্য আনি, আমরা সত্যবাদী। ",,,,
,65,,"“রাতে তুমি তোমার পরিবারকে সঙ্গে নিবে। তাদের পেছনে থেকো, এবং নিশ্চিত করো যে তোমাদের কেউ যেন পেছনে না তাকায়। সোজা চলে যাও যেভাবে আদেশ করা হয়েছে।""",,,,
,66,,আমরা তার কাছে এই হুকুম পৌঁছালামঃ ঐ লোকেরা সকালে ধ্বংস হবে। ,,,,
,67,,শহরের লোকরা আনন্দ করতে করতে আসলো। ,,,,
,68,,"সে বলল, “এরা আমার অতিথি; আমাকে বিব্রত করো না।”",,,,
,69,,"“আল্লাহকে ভয় করো, এবং আমাকে লজ্জিত করো না।"" ",,,,
,70,,"তারা বলল, “তোমাকে কি আমরা কারো সাথে যোগাযোগ করতে নিষেধ করিনি?”",,,,
,71,,"সে বলল, “এখানে আছে আমার কন্যারা, যদি তোমাদের দরকারই হয়।""",,,,
,72,,"কিন্তু, হায়, তারা তাদের কাম লালসায় সম্পূর্ণ অন্ধ ছিল। ",,,,
,73,,"ফলস্বরূপ, সকালে দুর্যোগ তাদের আঘাত করলো। ",,,,
,74,,"আমরা একে উল্টে দিলাম, এবং তাদের উপর ধ্বংসাত্বক পাথর বর্ষণ করলাম।",,,,
,75,,এটা তাদের জন্য একটি শিক্ষা যারা বুদ্ধিমত্তার অধিকারী।,,,,
,76,,এটাই হবে সবসময়কার রীতি। ,,,,
,77,,এটা বিশ্বাসীদের জন্য একটা নিদর্শন।,,,,
,78,,বনের অধিবাসীরাও সীমালঙ্ঘনকারী ছিল। ,,,,
,79,,"ফলস্বরূপ, আমরা তাদের থেকে প্রতিশোধ নিলাম, এবং উভয় জনপদ সম্পূর্ণভাবে লিপিবদ্ধ। ",,,,
,80,,আল-হিজরের লোকেরা বার্তাবাহকদের অবিশ্বাস করেছিল।,,,,
,81,,"আমরা তাদেরকে আমাদের প্রকাশনাবলি দিয়েছিলাম, কিন্তু তারা সেগুলো উপেক্ষা করেছে।",,,,
,82,,তারা পাহাড়ে নিরাপদ ঘর খোদাই করতো। ,,,,
,83,,সকালে দুর্যোগ তাদের আঘাত করলো।,,,,
,84,,যা তারা জমা করেছিল তা তাদের সাহায্য করেনি।,,,,
,85,বিশ্বের পরিসমাপ্তির উন্মোচন,"আমরা আকাশমন্ডলী ও পৃথিবী, এবং এদের মাঝের সবকিছু একটি সুনির্দিষ্ট উদ্দেশ্য ছাড়া সৃষ্টি করিনি। বিশ্বের পরিসমাপ্তি আসবে, সুতরাং তাদেরকে মৃদুভাবে উপেক্ষা করো।",,,,
,86,,"তোমার প্রভু হচ্ছেন সৃষ্টিকর্তা, আর সর্বজ্ঞ। ",,,,
,87,,"আমরা তোমাকে দিয়েছি সাত জোড়া, এবং মহান কোরআন। ",,,,
,88,,"অন্য (বার্তাবাহকদের) উপর আমরা যা অর্পণ করেছি তাতে ঈর্ষান্বিত হয়ো না, এবং (অবিশ্বাসীদের কারণে) দুঃখিত হয়ো না, এবং বিশ্বাসীদের প্রতি সদয় হও।",,,,
,89,,"এবং ঘোষণা করো, “আমি স্পষ্ট সতর্ককারী।""",,,,
,90,,বিভক্তকারীদের সাথে আমি বোঝাপড়া করবো। ,,,,
